expression,meaning,example,domain
aer@dry,"dry, parched aspect of air-related",aer@dry,physical
aer@dul,"dull, blunt, not sharp aspect of air-related",aer@dul,physical
aer@ele,"electron, charge aspect of air-related",aer@ele,physical
aft@bir,"birth through after, following, subsequent to",aft@bir,temporal
aft@cha,"change through after, following, subsequent to",aft@cha,temporal
aft@dea,"death through after, following, subsequent to",aft@dea,temporal
aft@dec,"decay through after, following, subsequent to",aft@dec,temporal
aft@era,"era, age through after, following, subsequent to",aft@era,temporal
aft@grd,"gradual, slow change through after, following, subsequent to",aft@grd,temporal
aga@dia,"diameter, across relative to against, opposed to, in opposition",aga@dia,spatial
aga@dow,"downward relative to against, opposed to, in opposition",aga@dow,spatial
aga@drf,"drift, aimless movement in sem of against, opposed to, in opposi",aga@drf,spatial
aga@eas,"east, sunrise-direction relative to against, opposed to, in opposition",aga@eas,spatial
aga@edg,"edge relative to against, opposed to, in opposition",aga@edg,spatial
aga@far,"far relative to against, opposed to, in opposition",aga@far,spatial
aga@fli,"flip, turn over relative to against, opposed to, in opposition",aga@fli,spatial
aga@for,"forward relative to against, opposed to, in opposition",aga@for,spatial
aga@fro,"in front relative to against, opposed to, in opposition",aga@fro,spatial
aga@gap,"gap, space between relative to against, opposed to, in opposition",aga@gap,spatial
aga@hei,"height, tall relative to against, opposed to, in opposition",aga@hei,spatial
aga@her,"here relative to against, opposed to, in opposition",aga@her,spatial
aga@hex,"hexagon, six relative to against, opposed to, in opposition",aga@hex,spatial
aga@hig,"high, elevated relative to against, opposed to, in opposition",aga@hig,spatial
aga@ins,"inside relative to against, opposed to, in opposition",aga@ins,spatial
aga@lef,"left relative to against, opposed to, in opposition",aga@lef,spatial
aga@len,"length, long relative to against, opposed to, in opposition",aga@len,spatial
aga@lin,"line relative to against, opposed to, in opposition",aga@lin,spatial
aga@low,"low, ground relative to against, opposed to, in opposition",aga@low,spatial
aga@nea,"near relative to against, opposed to, in opposition",aga@nea,spatial
aga@nor,"north, up-direction relative to against, opposed to, in opposition",aga@nor,spatial
age@alw,always aspect of agent,age@alw = temporal relationship,temporal
age@bad,bad form of agent,age@bad,abstract
age@bea,beautiful form of agent,age@bea,abstract
age@con,contraction form of agent,age@con,abstract
age@dur,"duration, time span, interval aspect of agent",age@dur = temporal relationship,temporal
age@fal,"failure, decline, sunset form of agent",age@fal,abstract
age@fut,future aspect of agent,age@fut = temporal relationship,temporal
age@goo,good form of agent,age@goo,abstract
age@imp,"implode, collapse form of agent",age@imp,abstract
age@mom,"moment, instant aspect of agent",age@mom = temporal relationship,temporal
age@nec,"neck, connect form of agent",age@nec,abstract
age@now,present moment aspect of agent,age@now = temporal relationship,temporal
age@pas,past aspect of agent,age@pas = temporal relationship,temporal
age@per,"perceive, sense form of agent",age@per,abstract
age@tru,true form of agent,age@tru,abstract
age@yet,"yet, still, up to now aspect of agent",age@yet = temporal relationship,temporal
agr@ang,express anger through agreeing,agr@ang,communication
agr@cal,express calm through agreeing,agr@cal,communication
agr@con,express contraction through agreeing,agr@con,communication
agr@fru,"express fruit, produce through agreeing",agr@fru,communication
agr@joy,express joy through agreeing,agr@joy,communication
agr@sad,express sadness through agreeing,agr@sad,communication
ahi@bra,"brain of ahimsa, non-violence",ahi@bra,abstract
aim@ris,"rising, ascending of aim, target, direct toward goa",aim@ris,cognitive
all@ang,"anger of all, every","all@ang = how all, every feels",emotion
all@bad,"bad form of all, every",all@bad,abstract
all@bea,"beautiful form of all, every",all@bea,abstract
all@cal,"calm of all, every","all@cal = how all, every feels",emotion
all@con,"contraction form of all, every",all@con,abstract
all@des,"desire, want strongly, crave of all, every","all@des = how all, every feels",emotion
all@dia,"diameter, across of all, every","all@dia = how all, every feels",emotion
all@fal,"failure, decline, sunset form of all, every",all@fal,abstract
all@goo,"good form of all, every",all@goo,abstract
all@gra,"grass, lawn of all, every","all@gra = how all, every feels",emotion
all@hop,"hope of all, every","all@hop = how all, every feels",emotion
all@imp,"implode, collapse form of all, every",all@imp,abstract
all@joy,"joy of all, every","all@joy = how all, every feels",emotion
all@lov,"love of all, every","all@lov = how all, every feels",emotion
all@nec,"neck, connect form of all, every",all@nec,abstract
all@per,"perceive, sense form of all, every",all@per,abstract
all@sad,"sadness of all, every","all@sad = how all, every feels",emotion
all@ste,"steam, vapor of all, every",all@ste,abstract
all@tru,"true form of all, every",all@tru,abstract
all@wro,"wrong, incorrect, mistaken of all, every","all@wro = how all, every feels",emotion
alo@dia,"diameter, across relative to along, following the length of",alo@dia,spatial
alo@dow,"downward relative to along, following the length of",alo@dow,spatial
alo@eas,"east, sunrise-direction relative to along, following the length of",alo@eas,spatial
alo@edg,"edge relative to along, following the length of",alo@edg,spatial
alo@far,"far relative to along, following the length of",alo@far,spatial
alo@fli,"flip, turn over relative to along, following the length of",alo@fli,spatial
alo@for,"forward relative to along, following the length of",alo@for,spatial
alo@fro,"in front relative to along, following the length of",alo@fro,spatial
alo@gap,"gap, space between relative to along, following the length of",alo@gap,spatial
alo@hei,"height, tall relative to along, following the length of",alo@hei,spatial
alo@her,"here relative to along, following the length of",alo@her,spatial
alo@hex,"hexagon, six relative to along, following the length of",alo@hex,spatial
alo@hig,"high, elevated relative to along, following the length of",alo@hig,spatial
alo@ins,"inside relative to along, following the length of",alo@ins,spatial
alo@lef,"left relative to along, following the length of",alo@lef,spatial
alo@len,"length, long relative to along, following the length of",alo@len,spatial
alo@lin,"line relative to along, following the length of",alo@lin,spatial
alo@low,"low, ground relative to along, following the length of",alo@low,spatial
alo@nea,"near relative to along, following the length of",alo@nea,spatial
alo@nor,"north, up-direction relative to along, following the length of",alo@nor,spatial
alp@bad,"bad form of alpha, first",alp@bad,abstract
alp@bea,"beautiful form of alpha, first",alp@bea,abstract
alp@con,"contraction form of alpha, first",alp@con,abstract
alp@fal,"failure, decline, sunset form of alpha, first",alp@fal,abstract
alp@goo,"good form of alpha, first",alp@goo,abstract
alp@hol,"hold, grasp of alpha, first",alp@hol,abstract
alp@imp,"implode, collapse form of alpha, first",alp@imp,abstract
alp@nec,"neck, connect form of alpha, first",alp@nec,abstract
alp@per,"perceive, sense form of alpha, first",alp@per,abstract
alp@tru,"true form of alpha, first",alp@tru,abstract
alt@bad,"bad form of alternatively, or else, another opt",alt@bad,abstract
alt@bea,"beautiful form of alternatively, or else, another opt",alt@bea,abstract
alt@con,"contraction form of alternatively, or else, another opt",alt@con,abstract
alt@fal,"failure, decline, sunset form of alternatively, or else, another opt",alt@fal,abstract
alt@goo,"good form of alternatively, or else, another opt",alt@goo,abstract
alt@imp,"implode, collapse form of alternatively, or else, another opt",alt@imp,abstract
alt@nec,"neck, connect form of alternatively, or else, another opt",alt@nec,abstract
alt@per,"perceive, sense form of alternatively, or else, another opt",alt@per,abstract
alt@tru,"true form of alternatively, or else, another opt",alt@tru,abstract
alw@age,agent aspect of always,alw@age = temporal relationship,temporal
alw@bir,birth through always,alw@bir,temporal
alw@cha,change through always,alw@cha,temporal
alw@dea,death through always,alw@dea,temporal
alw@dec,decay through always,alw@dec,temporal
alw@dur,"duration, time span, interval aspect of always",alw@dur = temporal relationship,temporal
alw@era,"era, age through always",alw@era,temporal
alw@fut,future aspect of always,alw@fut = temporal relationship,temporal
alw@grd,"gradual, slow change through always",alw@grd,temporal
alw@mom,"moment, instant aspect of always",alw@mom = temporal relationship,temporal
alw@now,present moment aspect of always,alw@now = temporal relationship,temporal
alw@pas,past aspect of always,alw@pas = temporal relationship,temporal
alw@sev,"seven, number of always",alw@sev,temporal
alw@yet,"yet, still, up to now aspect of always",alw@yet = temporal relationship,temporal
amb@bad,bad form of many meanings,amb@bad,abstract
amb@bea,beautiful form of many meanings,amb@bea,abstract
amb@con,contraction form of many meanings,amb@con,abstract
amb@fal,"failure, decline, sunset form of many meanings",amb@fal,abstract
amb@goo,good form of many meanings,amb@goo,abstract
amb@imp,"implode, collapse form of many meanings",amb@imp,abstract
amb@nec,"neck, connect form of many meanings",amb@nec,abstract
amb@per,"perceive, sense form of many meanings",amb@per,abstract
amb@tru,true form of many meanings,amb@tru,abstract
amo@dia,"diameter, across relative to among, in the midst of, surrounded ",amo@dia,spatial
amo@dow,"downward relative to among, in the midst of, surrounded ",amo@dow,spatial
amo@eas,"east, sunrise-direction relative to among, in the midst of, surrounded ",amo@eas,spatial
amo@edg,"edge relative to among, in the midst of, surrounded ",amo@edg,spatial
amo@far,"far relative to among, in the midst of, surrounded ",amo@far,spatial
amo@fli,"flip, turn over relative to among, in the midst of, surrounded ",amo@fli,spatial
amo@for,"forward relative to among, in the midst of, surrounded ",amo@for,spatial
amo@fro,"in front relative to among, in the midst of, surrounded ",amo@fro,spatial
amo@gap,"gap, space between relative to among, in the midst of, surrounded ",amo@gap,spatial
amo@hei,"height, tall relative to among, in the midst of, surrounded ",amo@hei,spatial
amo@her,"here relative to among, in the midst of, surrounded ",amo@her,spatial
amo@hex,"hexagon, six relative to among, in the midst of, surrounded ",amo@hex,spatial
amo@hig,"high, elevated relative to among, in the midst of, surrounded ",amo@hig,spatial
amo@ins,"inside relative to among, in the midst of, surrounded ",amo@ins,spatial
amo@itr,"integrity, wholeness, moral so of among, in the midst of, surrou",amo@itr,spatial
amo@lef,"left relative to among, in the midst of, surrounded ",amo@lef,spatial
amo@len,"length, long relative to among, in the midst of, surrounded ",amo@len,spatial
amo@lin,"line relative to among, in the midst of, surrounded ",amo@lin,spatial
amo@low,"low, ground relative to among, in the midst of, surrounded ",amo@low,spatial
amo@nea,"near relative to among, in the midst of, surrounded ",amo@nea,spatial
amo@nor,"north, up-direction relative to among, in the midst of, surrounded ",amo@nor,spatial
amo@srv,"server, host of among, in the midst of, surrou",amo@srv,spatial
ana@clr,"clarity, clear understanding ( of analyze, examine systematicall",ana@clr,abstract
anc@bad,"bad form of ancient, old",anc@bad,abstract
anc@bea,"beautiful form of ancient, old",anc@bea,abstract
anc@con,"contraction form of ancient, old",anc@con,abstract
anc@fal,"failure, decline, sunset form of ancient, old",anc@fal,abstract
anc@goo,"good form of ancient, old",anc@goo,abstract
anc@imp,"implode, collapse form of ancient, old",anc@imp,abstract
anc@nec,"neck, connect form of ancient, old",anc@nec,abstract
anc@per,"perceive, sense form of ancient, old",anc@per,abstract
anc@tru,"true form of ancient, old",anc@tru,abstract
and@bad,bad form of conjunction,and@bad,abstract
and@bea,beautiful form of conjunction,and@bea,abstract
and@con,contraction form of conjunction,and@con,abstract
and@fal,"failure, decline, sunset form of conjunction",and@fal,abstract
and@goo,good form of conjunction,and@goo,abstract
and@imp,"implode, collapse form of conjunction",and@imp,abstract
and@nec,"neck, connect form of conjunction",and@nec,abstract
and@per,"perceive, sense form of conjunction",and@per,abstract
and@tru,true form of conjunction,and@tru,abstract
ang@cal,calm within anger,ang@cal = emotional layering,emotion
ang@cat,"catalyst, accelerator with anger",ang@cat = emotionally charged action,emotion
ang@des,"desire, want strongly, crave within anger",ang@des = emotional layering,emotion
ang@dia,"diameter, across within anger",ang@dia = emotional layering,emotion
ang@gra,"grass, lawn within anger",ang@gra = emotional layering,emotion
ang@hop,hope within anger,ang@hop = emotional layering,emotion
ang@joy,joy within anger,ang@joy = emotional layering,emotion
ang@jum,"jump, leap with anger",ang@jum = emotionally charged action,emotion
ang@kin,"bittersweet blend: kind, gentle in anger",ang@kin,emotion
ang@lea,leader with anger,ang@lea = emotionally charged action,emotion
ang@lov,love within anger,ang@lov = emotional layering,emotion
ang@pru,"bittersweet blend: prudence, wisdom in action in anger",ang@pru,emotion
ang@pul,pulling with anger,ang@pul = emotionally charged action,emotion
ang@pus,pushing with anger,ang@pus = emotionally charged action,emotion
ang@run,"run, fast move with anger",ang@run = emotionally charged action,emotion
ang@sad,sadness within anger,ang@sad = emotional layering,emotion
ang@thr,"thread, string with anger",ang@thr = emotionally charged action,emotion
ang@wal,"wall, barrier with anger",ang@wal = emotionally charged action,emotion
ang@wro,"wrong, incorrect, mistaken within anger",ang@wro = emotional layering,emotion
ani@bad,bad animal,ani@bad = type of animal,living
ani@bea,beautiful animal,ani@bea = type of animal,living
ani@cat,"how animal can catalyst, accelerator",ani@cat = capability,living
ani@con,contraction animal,ani@con = type of animal,living
ani@goo,good animal,ani@goo = type of animal,living
ani@hea,healthy of animal,ani@hea,living
ani@imp,"implode, collapse animal",ani@imp = type of animal,living
ani@jum,"how animal can jump, leap",ani@jum = capability,living
ani@lea,how animal can leader,ani@lea = capability,living
ani@nec,"neck, connect animal",ani@nec = type of animal,living
ani@old,old of animal,ani@old,living
ani@per,"perceive, sense animal",ani@per = type of animal,living
ani@pul,how animal can pulling,ani@pul = capability,living
ani@pus,how animal can pushing,ani@pus = capability,living
ani@rep,"reptile, cold-blood of animal",ani@rep,living
ani@run,"how animal can run, fast move",ani@run = capability,living
ani@slo,"slope, incline animal",ani@slo = type of animal,living
ani@str,strong animal,ani@str = type of animal,living
ani@thr,"how animal can thread, string",ani@thr = capability,living
ani@wal,"how animal can wall, barrier",ani@wal = capability,living
ani@wea,weak animal,ani@wea = type of animal,living
ans@ang,"express anger through answer, reply",ans@ang,communication
ans@bad,"bad aspect of answer, reply",ans@bad = bad thinking,cognitive
ans@bea,"beautiful aspect of answer, reply",ans@bea = beautiful thinking,cognitive
ans@bel,"below aspect of answer, reply",ans@bel = combined cognition,cognitive
ans@cal,"express calm through answer, reply",ans@cal,communication
ans@con,"contraction aspect of answer, reply",ans@con = contraction thinking,cognitive
ans@dou,"doubting aspect of answer, reply",ans@dou = combined cognition,cognitive
ans@fru,"express fruit, produce through answer, reply",ans@fru,communication
ans@goo,"good aspect of answer, reply",ans@goo = good thinking,cognitive
ans@ide,"idea, concept, notion aspect of answer, reply",ans@ide = combined cognition,cognitive
ans@imp,"implode, collapse aspect of answer, reply","ans@imp = implode, collapse thinking",cognitive
ans@joy,"express joy through answer, reply",ans@joy,communication
ans@mem,"memory, storage aspect of answer, reply",ans@mem = combined cognition,cognitive
ans@nec,"neck, connect aspect of answer, reply","ans@nec = neck, connect thinking",cognitive
ans@per,"perceive, sense aspect of answer, reply","ans@per = perceive, sense thinking",cognitive
ans@que,"question, query aspect of answer, reply",ans@que = combined cognition,cognitive
ans@rea,"real aspect of answer, reply",ans@rea = combined cognition,cognitive
ans@sad,"express sadness through answer, reply",ans@sad,communication
ans@slo,"slope, incline aspect of answer, reply","ans@slo = slope, incline thinking",cognitive
ans@str,"strong aspect of answer, reply",ans@str = strong thinking,cognitive
ans@und,"understanding aspect of answer, reply",ans@und = combined cognition,cognitive
ans@wea,"weak aspect of answer, reply",ans@wea = weak thinking,cognitive
ans@wis,"wisdom, insight aspect of answer, reply",ans@wis = combined cognition,cognitive
ant@hea,"healthy of ant, insect",ant@hea,living
ant@old,"old of ant, insect",ant@old,living
ant@rep,"reptile, cold-blood of ant, insect",ant@rep,living
anx@ask,"asking of anxious, worry",anx@ask,cognitive
any@bad,"bad form of any, free choice quantifier",any@bad,abstract
any@bea,"beautiful form of any, free choice quantifier",any@bea,abstract
any@con,"contraction form of any, free choice quantifier",any@con,abstract
any@fal,"failure, decline, sunset form of any, free choice quantifier",any@fal,abstract
any@goo,"good form of any, free choice quantifier",any@goo,abstract
any@imp,"implode, collapse form of any, free choice quantifier",any@imp,abstract
any@nec,"neck, connect form of any, free choice quantifier",any@nec,abstract
any@per,"perceive, sense form of any, free choice quantifier",any@per,abstract
any@tru,"true form of any, free choice quantifier",any@tru,abstract
api@art,"art, creative work enabled by interface, protocol",api@art,technology
api@ate,"make, cause to be, act enabled by interface, protocol",api@ate,technology
api@bec,"because enabled by interface, protocol",api@bec,technology
api@bld,"build, construct, assemble enabled by interface, protocol",api@bld,technology
api@cau,"cause, reason why, causation enabled by interface, protocol",api@cau,technology
api@closure,"function closure enabled by interface, protocol",api@closure,technology
api@combinator,"combinator function enabled by interface, protocol",api@combinator,technology
api@coroutine,"coroutine function enabled by interface, protocol",api@coroutine,technology
api@cpu,"processor, compute enabled by interface, protocol",api@cpu,technology
api@cra,"craft, handwork enabled by interface, protocol",api@cra,technology
api@cst,"construct, build node (HVM primitiv enabled by interface, protocol",api@cst,technology
api@derivation,"word formation process enabled by interface, protocol",api@derivation,technology
api@dil,"diligence, hard work enabled by interface, protocol",api@dil,technology
api@due,"due to, because of, owing to enabled by interface, protocol",api@due,technology
api@ena,"enable, make possible, allow enabled by interface, protocol",api@ena,technology
apl@tnv,"tentative, held lightly of apple",apl@tnv,abstract
app@art,"art, creative work enabled by application, program",app@art,technology
app@ate,"make, cause to be, act enabled by application, program",app@ate,technology
app@bec,"because enabled by application, program",app@bec,technology
app@bld,"build, construct, assemble enabled by application, program",app@bld,technology
app@cau,"cause, reason why, causation enabled by application, program",app@cau,technology
app@closure,"function closure enabled by application, program",app@closure,technology
app@combinator,"combinator function enabled by application, program",app@combinator,technology
app@coroutine,"coroutine function enabled by application, program",app@coroutine,technology
app@cpu,"processor, compute enabled by application, program",app@cpu,technology
app@cra,"craft, handwork enabled by application, program",app@cra,technology
app@cst,"construct, build node (HVM primitiv enabled by application, program",app@cst,technology
app@derivation,"word formation process enabled by application, program",app@derivation,technology
app@dil,"diligence, hard work enabled by application, program",app@dil,technology
app@due,"due to, because of, owing to enabled by application, program",app@due,technology
app@ena,"enable, make possible, allow enabled by application, program",app@ena,technology
aqu@aer,air-related aspect of water-related,aqu@aer,physical
aqu@ari,"desert, arid aspect of water-related",aqu@ari,physical
aqu@ash,"ash, burnt residue aspect of water-related",aqu@ash,physical
aqu@ato,"atom, particle aspect of water-related",aqu@ato,physical
aqu@big,"large, big aspect of water-related",aqu@big,physical
aqu@blf,"cliff, precipice aspect of water-related",aqu@blf,physical
aqu@bol,"boil, bubble aspect of water-related",aqu@bol,physical
aqu@bur,burning aspect of water-related,aqu@bur,physical
aqu@cav,"cave, cavern aspect of water-related",aqu@cav,physical
aqu@che,"chemical, reaction aspect of water-related",aqu@che,physical
aqu@clo,"cloud, vapor aspect of water-related",aqu@clo,physical
aqu@con,contraction aspect of water-related,aqu@con,physical
aqu@cry,"crystal, lattice aspect of water-related",aqu@cry,physical
aqu@dam,blocking aspect of water-related,aqu@dam,physical
aqu@den,"dense, compact aspect of water-related",aqu@den,physical
aqu@dim,"dim, faint aspect of water-related",aqu@dim,physical
aqu@dry,"dry, parched aspect of water-related",aqu@dry,physical
aqu@dul,"dull, blunt, not sharp aspect of water-related",aqu@dul,physical
aqu@ele,"electron, charge aspect of water-related",aqu@ele,physical
aqu@for,forward of water-related,aqu@for,physical
arc@dia,"diameter, across relative to arc, segment",arc@dia,spatial
arc@dow,"downward relative to arc, segment",arc@dow,spatial
arc@eas,"east, sunrise-direction relative to arc, segment",arc@eas,spatial
arc@edg,"edge relative to arc, segment",arc@edg,spatial
arc@far,"far relative to arc, segment",arc@far,spatial
arc@fli,"flip, turn over relative to arc, segment",arc@fli,spatial
arc@for,"forward relative to arc, segment",arc@for,spatial
arc@fro,"in front relative to arc, segment",arc@fro,spatial
arc@gap,"gap, space between relative to arc, segment",arc@gap,spatial
arc@hei,"height, tall relative to arc, segment",arc@hei,spatial
arc@her,"here relative to arc, segment",arc@her,spatial
arc@hex,"hexagon, six relative to arc, segment",arc@hex,spatial
arc@hig,"high, elevated relative to arc, segment",arc@hig,spatial
arc@ins,"inside relative to arc, segment",arc@ins,spatial
arc@lef,"left relative to arc, segment",arc@lef,spatial
arc@len,"length, long relative to arc, segment",arc@len,spatial
arc@lin,"line relative to arc, segment",arc@lin,spatial
arc@low,"low, ground relative to arc, segment",arc@low,spatial
arc@nea,"near relative to arc, segment",arc@nea,spatial
arc@nor,"north, up-direction relative to arc, segment",arc@nor,spatial
arc@pro,"protecting of arc, segment",arc@pro,spatial
are@dia,"diameter, across relative to area",are@dia,spatial
are@dow,downward relative to area,are@dow,spatial
are@eas,"east, sunrise-direction relative to area",are@eas,spatial
are@edg,edge relative to area,are@edg,spatial
are@far,far relative to area,are@far,spatial
are@fli,"flip, turn over relative to area",are@fli,spatial
are@for,forward relative to area,are@for,spatial
are@fro,in front relative to area,are@fro,spatial
are@gap,"gap, space between relative to area",are@gap,spatial
are@hei,"height, tall relative to area",are@hei,spatial
are@her,here relative to area,are@her,spatial
are@hex,"hexagon, six relative to area",are@hex,spatial
are@hig,"high, elevated relative to area",are@hig,spatial
are@ins,inside relative to area,are@ins,spatial
are@lef,left relative to area,are@lef,spatial
are@len,"length, long relative to area",are@len,spatial
are@lin,line relative to area,are@lin,spatial
are@low,"low, ground relative to area",are@low,spatial
are@nea,near relative to area,are@nea,spatial
are@nor,"north, up-direction relative to area",are@nor,spatial
arg@ang,express anger through arguing,arg@ang,communication
arg@cal,express calm through arguing,arg@cal,communication
arg@con,express contraction through arguing,arg@con,communication
arg@fru,"express fruit, produce through arguing",arg@fru,communication
arg@joy,express joy through arguing,arg@joy,communication
arg@sad,express sadness through arguing,arg@sad,communication
arg@sle,"sleet, ice rain of arguing",arg@sle,abstract
ari@dus,"dusk of desert, arid",ari@dus,abstract
aro@dia,"diameter, across relative to around, surrounding, encircling",aro@dia,spatial
aro@dow,"downward relative to around, surrounding, encircling",aro@dow,spatial
aro@eas,"east, sunrise-direction relative to around, surrounding, encircling",aro@eas,spatial
aro@edg,"edge relative to around, surrounding, encircling",aro@edg,spatial
aro@far,"far relative to around, surrounding, encircling",aro@far,spatial
aro@fli,"flip, turn over relative to around, surrounding, encircling",aro@fli,spatial
aro@for,"forward relative to around, surrounding, encircling",aro@for,spatial
aro@fro,"in front relative to around, surrounding, encircling",aro@fro,spatial
aro@gap,"gap, space between relative to around, surrounding, encircling",aro@gap,spatial
aro@hei,"height, tall relative to around, surrounding, encircling",aro@hei,spatial
aro@her,"here relative to around, surrounding, encircling",aro@her,spatial
aro@hex,"hexagon, six relative to around, surrounding, encircling",aro@hex,spatial
aro@hig,"high, elevated relative to around, surrounding, encircling",aro@hig,spatial
aro@ins,"inside relative to around, surrounding, encircling",aro@ins,spatial
aro@lef,"left relative to around, surrounding, encircling",aro@lef,spatial
aro@len,"length, long relative to around, surrounding, encircling",aro@len,spatial
aro@lin,"line relative to around, surrounding, encircling",aro@lin,spatial
aro@low,"low, ground relative to around, surrounding, encircling",aro@low,spatial
aro@nea,"near relative to around, surrounding, encircling",aro@nea,spatial
aro@nor,"north, up-direction relative to around, surrounding, encircling",aro@nor,spatial
art@bad,"bad quality of art, creative work","art@bad = bad art, creative work",physical
art@bea,"beautiful quality of art, creative work","art@bea = beautiful art, creative work",physical
art@bri,"hope, clarity, intelligence aspect of art, creative work","art@bri = the hope, clarity, intelligence art, creative work",physical
art@col,"distant, aloof, calm aspect of art, creative work","art@col = the distant, aloof, calm art, creative work",physical
art@con,"contraction quality of art, creative work","art@con = contraction art, creative work",physical
art@dar,"dark, ignorance aspect of art, creative work","art@dar = the dark, ignorance art, creative work",physical
art@goo,"good quality of art, creative work","art@goo = good art, creative work",physical
art@har,"hard, resistant aspect of art, creative work","art@har = the hard, resistant art, creative work",physical
art@hot,"passion, anger, urgency aspect of art, creative work","art@hot = the passion, anger, urgency art, creative work",physical
art@imp,"implode, collapse quality of art, creative work","art@imp = implode, collapse art, creative work",physical
art@nec,"neck, connect quality of art, creative work","art@nec = neck, connect art, creative work",physical
art@per,"perceive, sense quality of art, creative work","art@per = perceive, sense art, creative work",physical
art@rou,"rough aspect of art, creative work","art@rou = the rough art, creative work",physical
art@sha,"shame aspect of art, creative work","art@sha = the shame art, creative work",physical
art@slo,"slope, incline quality of art, creative work","art@slo = slope, incline art, creative work",physical
art@smo,"smooth aspect of art, creative work","art@smo = the smooth art, creative work",physical
art@sof,"soft, yielding aspect of art, creative work","art@sof = the soft, yielding art, creative work",physical
art@str,"strong quality of art, creative work","art@str = strong art, creative work",physical
art@tex,"texture, feel aspect of art, creative work","art@tex = the texture, feel art, creative work",physical
