expression,meaning,example,domain,base_word,intensity_level,intensity_value,semantic_group
hev^0.1,light-ish,hev^0.1 = light-ish,Physical Intensity,hev,minimal,0.1,weight heaviness
hev^0.2,fairly heavy,hev^0.2 = fairly heavy,Physical Intensity,hev,slight,0.2,weight heaviness
hev^0.3,heavy,hev^0.3 = heavy,Physical Intensity,hev,subtle,0.3,weight heaviness
hev^0.5,very heavy,hev^0.5 = very heavy,Physical Intensity,hev,moderate,0.5,weight heaviness
hev^0.7,crushing,hev^0.7 = crushing,Physical Intensity,hev,strong,0.7,weight heaviness
hev^0.8,immovable,hev^0.8 = immovable,Physical Intensity,hev,intense,0.8,weight heaviness
hev^0.9,immovable,hev^0.9 = immovable,Physical Intensity,hev,extreme,0.9,weight heaviness
hev^1.0,immovable,hev^1.0 = immovable,Physical Intensity,hev,maximum,1.0,weight heaviness
bri^0.1,dim,bri^0.1 = dim,Physical Intensity,bri,minimal,0.1,brightness
bri^0.2,faint,bri^0.2 = faint,Physical Intensity,bri,slight,0.2,brightness
bri^0.3,dull,bri^0.3 = dull,Physical Intensity,bri,subtle,0.3,brightness
bri^0.5,bright,bri^0.5 = bright,Physical Intensity,bri,moderate,0.5,brightness
bri^0.7,brilliant,bri^0.7 = brilliant,Physical Intensity,bri,strong,0.7,brightness
bri^0.8,blinding,bri^0.8 = blinding,Physical Intensity,bri,intense,0.8,brightness
bri^0.9,blinding,bri^0.9 = blinding,Physical Intensity,bri,extreme,0.9,brightness
bri^1.0,blinding,bri^1.0 = blinding,Physical Intensity,bri,maximum,1.0,brightness
dim^0.1,pale,dim^0.1 = pale,Physical Intensity,dim,minimal,0.1,darkness
dim^0.2,faint,dim^0.2 = faint,Physical Intensity,dim,slight,0.2,darkness
dim^0.3,dim,dim^0.3 = dim,Physical Intensity,dim,subtle,0.3,darkness
dim^0.5,dark,dim^0.5 = dark,Physical Intensity,dim,moderate,0.5,darkness
dim^0.7,pitch-black,dim^0.7 = pitch-black,Physical Intensity,dim,strong,0.7,darkness
dim^0.8,absolute-dark,dim^0.8 = absolute-dark,Physical Intensity,dim,intense,0.8,darkness
dim^0.9,absolute-dark,dim^0.9 = absolute-dark,Physical Intensity,dim,extreme,0.9,darkness
dim^1.0,absolute-dark,dim^1.0 = absolute-dark,Physical Intensity,dim,maximum,1.0,darkness
smo^0.1,rough,smo^0.1 = rough,Physical Intensity,smo,minimal,0.1,smoothness
smo^0.2,somewhat smooth,smo^0.2 = somewhat smooth,Physical Intensity,smo,slight,0.2,smoothness
smo^0.3,fairly smooth,smo^0.3 = fairly smooth,Physical Intensity,smo,subtle,0.3,smoothness
smo^0.5,smoother,smo^0.5 = smoother,Physical Intensity,smo,moderate,0.5,smoothness
smo^0.7,polished,smo^0.7 = polished,Physical Intensity,smo,strong,0.7,smoothness
smo^0.8,mirror-smooth,smo^0.8 = mirror-smooth,Physical Intensity,smo,intense,0.8,smoothness
smo^0.9,mirror-smooth,smo^0.9 = mirror-smooth,Physical Intensity,smo,extreme,0.9,smoothness
smo^1.0,mirror-smooth,smo^1.0 = mirror-smooth,Physical Intensity,smo,maximum,1.0,smoothness
rou^0.1,smooth,rou^0.1 = smooth,Physical Intensity,rou,minimal,0.1,roughness
rou^0.2,somewhat rough,rou^0.2 = somewhat rough,Physical Intensity,rou,slight,0.2,roughness
rou^0.3,fairly rough,rou^0.3 = fairly rough,Physical Intensity,rou,subtle,0.3,roughness
rou^0.5,rougher,rou^0.5 = rougher,Physical Intensity,rou,moderate,0.5,roughness
rou^0.7,coarse,rou^0.7 = coarse,Physical Intensity,rou,strong,0.7,roughness
rou^0.8,abrasive,rou^0.8 = abrasive,Physical Intensity,rou,intense,0.8,roughness
rou^0.9,abrasive,rou^0.9 = abrasive,Physical Intensity,rou,extreme,0.9,roughness
rou^1.0,abrasive,rou^1.0 = abrasive,Physical Intensity,rou,maximum,1.0,roughness
har^0.1,soft,har^0.1 = soft,Physical Intensity,har,minimal,0.1,hardness
har^0.2,somewhat hard,har^0.2 = somewhat hard,Physical Intensity,har,slight,0.2,hardness
har^0.3,fairly hard,har^0.3 = fairly hard,Physical Intensity,har,subtle,0.3,hardness
har^0.5,harder,har^0.5 = harder,Physical Intensity,har,moderate,0.5,hardness
har^0.7,diamond-hard,har^0.7 = diamond-hard,Physical Intensity,har,strong,0.7,hardness
har^0.8,indestructible,har^0.8 = indestructible,Physical Intensity,har,intense,0.8,hardness
har^0.9,indestructible,har^0.9 = indestructible,Physical Intensity,har,extreme,0.9,hardness
har^1.0,indestructible,har^1.0 = indestructible,Physical Intensity,har,maximum,1.0,hardness
sof^0.1,stiff,sof^0.1 = stiff,Physical Intensity,sof,minimal,0.1,softness
sof^0.2,somewhat soft,sof^0.2 = somewhat soft,Physical Intensity,sof,slight,0.2,softness
sof^0.3,fairly soft,sof^0.3 = fairly soft,Physical Intensity,sof,subtle,0.3,softness
sof^0.5,softer,sof^0.5 = softer,Physical Intensity,sof,moderate,0.5,softness
sof^0.7,pillowy,sof^0.7 = pillowy,Physical Intensity,sof,strong,0.7,softness
sof^0.8,liquid-soft,sof^0.8 = liquid-soft,Physical Intensity,sof,intense,0.8,softness
sof^0.9,liquid-soft,sof^0.9 = liquid-soft,Physical Intensity,sof,extreme,0.9,softness
sof^1.0,liquid-soft,sof^1.0 = liquid-soft,Physical Intensity,sof,maximum,1.0,softness
wet^0.1,dry,wet^0.1 = dry,Physical Intensity,wet,minimal,0.1,wetness
wet^0.2,damp,wet^0.2 = damp,Physical Intensity,wet,slight,0.2,wetness
wet^0.3,moist,wet^0.3 = moist,Physical Intensity,wet,subtle,0.3,wetness
wet^0.5,wetter,wet^0.5 = wetter,Physical Intensity,wet,moderate,0.5,wetness
wet^0.7,dripping,wet^0.7 = dripping,Physical Intensity,wet,strong,0.7,wetness
wet^0.8,soaked,wet^0.8 = soaked,Physical Intensity,wet,intense,0.8,wetness
wet^0.9,soaked,wet^0.9 = soaked,Physical Intensity,wet,extreme,0.9,wetness
wet^1.0,soaked,wet^1.0 = soaked,Physical Intensity,wet,maximum,1.0,wetness
dry^0.1,wet,dry^0.1 = wet,Physical Intensity,dry,minimal,0.1,dryness
dry^0.2,moist,dry^0.2 = moist,Physical Intensity,dry,slight,0.2,dryness
dry^0.3,damp,dry^0.3 = damp,Physical Intensity,dry,subtle,0.3,dryness
dry^0.5,drier,dry^0.5 = drier,Physical Intensity,dry,moderate,0.5,dryness
dry^0.7,arid,dry^0.7 = arid,Physical Intensity,dry,strong,0.7,dryness
dry^0.8,parched,dry^0.8 = parched,Physical Intensity,dry,intense,0.8,dryness
dry^0.9,parched,dry^0.9 = parched,Physical Intensity,dry,extreme,0.9,dryness
dry^1.0,parched,dry^1.0 = parched,Physical Intensity,dry,maximum,1.0,dryness
mag^0.1,tiny,mag^0.1 = tiny,Physical Intensity,mag,minimal,0.1,size/magnitude
mag^0.2,small,mag^0.2 = small,Physical Intensity,mag,slight,0.2,size/magnitude
mag^0.3,smallish,mag^0.3 = smallish,Physical Intensity,mag,subtle,0.3,size/magnitude
mag^0.5,large,mag^0.5 = large,Physical Intensity,mag,moderate,0.5,size/magnitude
mag^0.7,huge,mag^0.7 = huge,Physical Intensity,mag,strong,0.7,size/magnitude
mag^0.8,enormous,mag^0.8 = enormous,Physical Intensity,mag,intense,0.8,size/magnitude
mag^0.9,enormous,mag^0.9 = enormous,Physical Intensity,mag,extreme,0.9,size/magnitude
mag^1.0,enormous,mag^1.0 = enormous,Physical Intensity,mag,maximum,1.0,size/magnitude
min^0.1,large,min^0.1 = large,Physical Intensity,min,minimal,0.1,minuteness
min^0.2,medium-small,min^0.2 = medium-small,Physical Intensity,min,slight,0.2,minuteness
min^0.3,small,min^0.3 = small,Physical Intensity,min,subtle,0.3,minuteness
min^0.5,tiny,min^0.5 = tiny,Physical Intensity,min,moderate,0.5,minuteness
min^0.7,microscopic,min^0.7 = microscopic,Physical Intensity,min,strong,0.7,minuteness
min^0.8,subatomic,min^0.8 = subatomic,Physical Intensity,min,intense,0.8,minuteness
min^0.9,subatomic,min^0.9 = subatomic,Physical Intensity,min,extreme,0.9,minuteness
min^1.0,subatomic,min^1.0 = subatomic,Physical Intensity,min,maximum,1.0,minuteness
lon^0.1,short,lon^0.1 = short,Physical Intensity,lon,minimal,0.1,length
lon^0.2,fairly long,lon^0.2 = fairly long,Physical Intensity,lon,slight,0.2,length
lon^0.3,moderately long,lon^0.3 = moderately long,Physical Intensity,lon,subtle,0.3,length
lon^0.5,longer,lon^0.5 = longer,Physical Intensity,lon,moderate,0.5,length
lon^0.7,extensive,lon^0.7 = extensive,Physical Intensity,lon,strong,0.7,length
lon^0.8,infinite,lon^0.8 = infinite,Physical Intensity,lon,intense,0.8,length
lon^0.9,infinite,lon^0.9 = infinite,Physical Intensity,lon,extreme,0.9,length
lon^1.0,infinite,lon^1.0 = infinite,Physical Intensity,lon,maximum,1.0,length
bre^0.1,long,bre^0.1 = long,Physical Intensity,bre,minimal,0.1,brevity
bre^0.2,fairly short,bre^0.2 = fairly short,Physical Intensity,bre,slight,0.2,brevity
bre^0.3,moderately short,bre^0.3 = moderately short,Physical Intensity,bre,subtle,0.3,brevity
bre^0.5,shorter,bre^0.5 = shorter,Physical Intensity,bre,moderate,0.5,brevity
bre^0.7,instantaneous,bre^0.7 = instantaneous,Physical Intensity,bre,strong,0.7,brevity
bre^0.8,zero-duration,bre^0.8 = zero-duration,Physical Intensity,bre,intense,0.8,brevity
bre^0.9,zero-duration,bre^0.9 = zero-duration,Physical Intensity,bre,extreme,0.9,brevity
bre^1.0,zero-duration,bre^1.0 = zero-duration,Physical Intensity,bre,maximum,1.0,brevity
wid^0.1,narrow,wid^0.1 = narrow,Physical Intensity,wid,minimal,0.1,width
wid^0.2,fairly wide,wid^0.2 = fairly wide,Physical Intensity,wid,slight,0.2,width
wid^0.3,moderately wide,wid^0.3 = moderately wide,Physical Intensity,wid,subtle,0.3,width
wid^0.5,wider,wid^0.5 = wider,Physical Intensity,wid,moderate,0.5,width
wid^0.7,vast,wid^0.7 = vast,Physical Intensity,wid,strong,0.7,width
wid^0.8,boundless,wid^0.8 = boundless,Physical Intensity,wid,intense,0.8,width
wid^0.9,boundless,wid^0.9 = boundless,Physical Intensity,wid,extreme,0.9,width
wid^1.0,boundless,wid^1.0 = boundless,Physical Intensity,wid,maximum,1.0,width
nar^0.1,wide,nar^0.1 = wide,Physical Intensity,nar,minimal,0.1,narrowness
nar^0.2,fairly narrow,nar^0.2 = fairly narrow,Physical Intensity,nar,slight,0.2,narrowness
nar^0.3,moderately narrow,nar^0.3 = moderately narrow,Physical Intensity,nar,subtle,0.3,narrowness
nar^0.5,narrower,nar^0.5 = narrower,Physical Intensity,nar,moderate,0.5,narrowness
nar^0.7,thread-thin,nar^0.7 = thread-thin,Physical Intensity,nar,strong,0.7,narrowness
nar^0.8,invisible,nar^0.8 = invisible,Physical Intensity,nar,intense,0.8,narrowness
nar^0.9,invisible,nar^0.9 = invisible,Physical Intensity,nar,extreme,0.9,narrowness
nar^1.0,invisible,nar^1.0 = invisible,Physical Intensity,nar,maximum,1.0,narrowness
den^0.1,sparse,den^0.1 = sparse,Physical Intensity,den,minimal,0.1,density
den^0.2,somewhat dense,den^0.2 = somewhat dense,Physical Intensity,den,slight,0.2,density
den^0.3,moderately dense,den^0.3 = moderately dense,Physical Intensity,den,subtle,0.3,density
den^0.5,denser,den^0.5 = denser,Physical Intensity,den,moderate,0.5,density
den^0.7,packed,den^0.7 = packed,Physical Intensity,den,strong,0.7,density
den^0.8,neutron-star-dense,den^0.8 = neutron-star-dense,Physical Intensity,den,intense,0.8,density
den^0.9,neutron-star-dense,den^0.9 = neutron-star-dense,Physical Intensity,den,extreme,0.9,density
den^1.0,neutron-star-dense,den^1.0 = neutron-star-dense,Physical Intensity,den,maximum,1.0,density
spa^0.1,dense,spa^0.1 = dense,Physical Intensity,spa,minimal,0.1,sparsity
spa^0.2,somewhat sparse,spa^0.2 = somewhat sparse,Physical Intensity,spa,slight,0.2,sparsity
spa^0.3,moderately sparse,spa^0.3 = moderately sparse,Physical Intensity,spa,subtle,0.3,sparsity
spa^0.5,sparser,spa^0.5 = sparser,Physical Intensity,spa,moderate,0.5,sparsity
spa^0.7,empty,spa^0.7 = empty,Physical Intensity,spa,strong,0.7,sparsity
spa^0.8,void,spa^0.8 = void,Physical Intensity,spa,intense,0.8,sparsity
spa^0.9,void,spa^0.9 = void,Physical Intensity,spa,extreme,0.9,sparsity
spa^1.0,void,spa^1.0 = void,Physical Intensity,spa,maximum,1.0,sparsity
joy^0.1,slight happy,joy^0.1 = slight happy,Emotional,joy,minimal,0.1,happiness intensity
joy^0.2,somewhat happy,joy^0.2 = somewhat happy,Emotional,joy,slight,0.2,happiness intensity
joy^0.3,fairly happy,joy^0.3 = fairly happy,Emotional,joy,subtle,0.3,happiness intensity
joy^0.5,very happy,joy^0.5 = very happy,Emotional,joy,moderate,0.5,happiness intensity
joy^0.7,ecstatic,joy^0.7 = ecstatic,Emotional,joy,strong,0.7,happiness intensity
joy^0.8,transcendent bliss,joy^0.8 = transcendent bliss,Emotional,joy,intense,0.8,happiness intensity
joy^0.9,transcendent bliss,joy^0.9 = transcendent bliss,Emotional,joy,extreme,0.9,happiness intensity
joy^1.0,transcendent bliss,joy^1.0 = transcendent bliss,Emotional,joy,maximum,1.0,happiness intensity
sad^0.1,slight sad,sad^0.1 = slight sad,Emotional,sad,minimal,0.1,sadness intensity
sad^0.2,somewhat sad,sad^0.2 = somewhat sad,Emotional,sad,slight,0.2,sadness intensity
sad^0.3,fairly sad,sad^0.3 = fairly sad,Emotional,sad,subtle,0.3,sadness intensity
sad^0.5,very sad,sad^0.5 = very sad,Emotional,sad,moderate,0.5,sadness intensity
sad^0.7,anguished,sad^0.7 = anguished,Emotional,sad,strong,0.7,sadness intensity
sad^0.8,utterly devastated,sad^0.8 = utterly devastated,Emotional,sad,intense,0.8,sadness intensity
sad^0.9,utterly devastated,sad^0.9 = utterly devastated,Emotional,sad,extreme,0.9,sadness intensity
sad^1.0,utterly devastated,sad^1.0 = utterly devastated,Emotional,sad,maximum,1.0,sadness intensity
ang^0.1,mildly annoyed,ang^0.1 = mildly annoyed,Emotional,ang,minimal,0.1,anger intensity
ang^0.2,somewhat annoyed,ang^0.2 = somewhat annoyed,Emotional,ang,slight,0.2,anger intensity
ang^0.3,fairly angry,ang^0.3 = fairly angry,Emotional,ang,subtle,0.3,anger intensity
ang^0.5,very angry,ang^0.5 = very angry,Emotional,ang,moderate,0.5,anger intensity
ang^0.7,enraged,ang^0.7 = enraged,Emotional,ang,strong,0.7,anger intensity
ang^0.8,apocalyptic rage,ang^0.8 = apocalyptic rage,Emotional,ang,intense,0.8,anger intensity
ang^0.9,apocalyptic rage,ang^0.9 = apocalyptic rage,Emotional,ang,extreme,0.9,anger intensity
ang^1.0,apocalyptic rage,ang^1.0 = apocalyptic rage,Emotional,ang,maximum,1.0,anger intensity
lov^0.1,slight affection,lov^0.1 = slight affection,Emotional,lov,minimal,0.1,love intensity
lov^0.2,somewhat loving,lov^0.2 = somewhat loving,Emotional,lov,slight,0.2,love intensity
lov^0.3,fairly loving,lov^0.3 = fairly loving,Emotional,lov,subtle,0.3,love intensity
lov^0.5,very loving,lov^0.5 = very loving,Emotional,lov,moderate,0.5,love intensity
lov^0.7,passionate,lov^0.7 = passionate,Emotional,lov,strong,0.7,love intensity
lov^0.8,all-consuming love,lov^0.8 = all-consuming love,Emotional,lov,intense,0.8,love intensity
lov^0.9,all-consuming love,lov^0.9 = all-consuming love,Emotional,lov,extreme,0.9,love intensity
lov^1.0,all-consuming love,lov^1.0 = all-consuming love,Emotional,lov,maximum,1.0,love intensity
hat^0.1,mild dislike,hat^0.1 = mild dislike,Emotional,hat,minimal,0.1,hate intensity
hat^0.2,somewhat disliking,hat^0.2 = somewhat disliking,Emotional,hat,slight,0.2,hate intensity
hat^0.3,fairly hostile,hat^0.3 = fairly hostile,Emotional,hat,subtle,0.3,hate intensity
hat^0.5,very hostile,hat^0.5 = very hostile,Emotional,hat,moderate,0.5,hate intensity
hat^0.7,contemptuous,hat^0.7 = contemptuous,Emotional,hat,strong,0.7,hate intensity
hat^0.8,absolute hatred,hat^0.8 = absolute hatred,Emotional,hat,intense,0.8,hate intensity
hat^0.9,absolute hatred,hat^0.9 = absolute hatred,Emotional,hat,extreme,0.9,hate intensity
hat^1.0,absolute hatred,hat^1.0 = absolute hatred,Emotional,hat,maximum,1.0,hate intensity
hop^0.1,slight hope,hop^0.1 = slight hope,Emotional,hop,minimal,0.1,hope intensity
hop^0.2,somewhat hopeful,hop^0.2 = somewhat hopeful,Emotional,hop,slight,0.2,hope intensity
hop^0.3,fairly hopeful,hop^0.3 = fairly hopeful,Emotional,hop,subtle,0.3,hope intensity
hop^0.5,very hopeful,hop^0.5 = very hopeful,Emotional,hop,moderate,0.5,hope intensity
hop^0.7,assured,hop^0.7 = assured,Emotional,hop,strong,0.7,hope intensity
hop^0.8,absolute faith,hop^0.8 = absolute faith,Emotional,hop,intense,0.8,hope intensity
hop^0.9,absolute faith,hop^0.9 = absolute faith,Emotional,hop,extreme,0.9,hope intensity
hop^1.0,absolute faith,hop^1.0 = absolute faith,Emotional,hop,maximum,1.0,hope intensity
des^0.1,slight doubt,des^0.1 = slight doubt,Emotional,des,minimal,0.1,despair intensity
des^0.2,somewhat doubtful,des^0.2 = somewhat doubtful,Emotional,des,slight,0.2,despair intensity
des^0.3,fairly despairing,des^0.3 = fairly despairing,Emotional,des,subtle,0.3,despair intensity
des^0.5,very despairing,des^0.5 = very despairing,Emotional,des,moderate,0.5,despair intensity
des^0.7,utterly lost,des^0.7 = utterly lost,Emotional,des,strong,0.7,despair intensity
des^0.8,absolute despair,des^0.8 = absolute despair,Emotional,des,intense,0.8,despair intensity
des^0.9,absolute despair,des^0.9 = absolute despair,Emotional,des,extreme,0.9,despair intensity
des^1.0,absolute despair,des^1.0 = absolute despair,Emotional,des,maximum,1.0,despair intensity
fea^0.1,slight worried,fea^0.1 = slight worried,Emotional,fea,minimal,0.1,fear intensity
fea^0.2,somewhat anxious,fea^0.2 = somewhat anxious,Emotional,fea,slight,0.2,fear intensity
fea^0.3,fairly scared,fea^0.3 = fairly scared,Emotional,fea,subtle,0.3,fear intensity
fea^0.5,very scared,fea^0.5 = very scared,Emotional,fea,moderate,0.5,fear intensity
fea^0.7,petrified,fea^0.7 = petrified,Emotional,fea,strong,0.7,fear intensity
fea^0.8,absolute terror,fea^0.8 = absolute terror,Emotional,fea,intense,0.8,fear intensity
fea^0.9,absolute terror,fea^0.9 = absolute terror,Emotional,fea,extreme,0.9,fear intensity
fea^1.0,absolute terror,fea^1.0 = absolute terror,Emotional,fea,maximum,1.0,fear intensity
tru^0.1,slight trust,tru^0.1 = slight trust,Emotional,tru,minimal,0.1,trust intensity
tru^0.2,somewhat trusting,tru^0.2 = somewhat trusting,Emotional,tru,slight,0.2,trust intensity
tru^0.3,fairly trusting,tru^0.3 = fairly trusting,Emotional,tru,subtle,0.3,trust intensity
tru^0.5,very trusting,tru^0.5 = very trusting,Emotional,tru,moderate,0.5,trust intensity
tru^0.7,absolute faith,tru^0.7 = absolute faith,Emotional,tru,strong,0.7,trust intensity
tru^0.8,blind trust,tru^0.8 = blind trust,Emotional,tru,intense,0.8,trust intensity
tru^0.9,blind trust,tru^0.9 = blind trust,Emotional,tru,extreme,0.9,trust intensity
tru^1.0,blind trust,tru^1.0 = blind trust,Emotional,tru,maximum,1.0,trust intensity
sus^0.1,slight doubt,sus^0.1 = slight doubt,Emotional,sus,minimal,0.1,suspicion intensity
sus^0.2,somewhat suspicious,sus^0.2 = somewhat suspicious,Emotional,sus,slight,0.2,suspicion intensity
sus^0.3,fairly suspicious,sus^0.3 = fairly suspicious,Emotional,sus,subtle,0.3,suspicion intensity
sus^0.5,very suspicious,sus^0.5 = very suspicious,Emotional,sus,moderate,0.5,suspicion intensity
sus^0.7,paranoid,sus^0.7 = paranoid,Emotional,sus,strong,0.7,suspicion intensity
sus^0.8,absolute suspicion,sus^0.8 = absolute suspicion,Emotional,sus,intense,0.8,suspicion intensity
sus^0.9,absolute suspicion,sus^0.9 = absolute suspicion,Emotional,sus,extreme,0.9,suspicion intensity
sus^1.0,absolute suspicion,sus^1.0 = absolute suspicion,Emotional,sus,maximum,1.0,suspicion intensity
cal^0.1,slightly agitated,cal^0.1 = slightly agitated,Emotional,cal,minimal,0.1,calmness
cal^0.2,somewhat calm,cal^0.2 = somewhat calm,Emotional,cal,slight,0.2,calmness
cal^0.3,fairly calm,cal^0.3 = fairly calm,Emotional,cal,subtle,0.3,calmness
cal^0.5,very calm,cal^0.5 = very calm,Emotional,cal,moderate,0.5,calmness
cal^0.7,serene,cal^0.7 = serene,Emotional,cal,strong,0.7,calmness
cal^0.8,perfect peace,cal^0.8 = perfect peace,Emotional,cal,intense,0.8,calmness
cal^0.9,perfect peace,cal^0.9 = perfect peace,Emotional,cal,extreme,0.9,calmness
cal^1.0,perfect peace,cal^1.0 = perfect peace,Emotional,cal,maximum,1.0,calmness
anx^0.1,slight worry,anx^0.1 = slight worry,Emotional,anx,minimal,0.1,anxiety
anx^0.2,somewhat anxious,anx^0.2 = somewhat anxious,Emotional,anx,slight,0.2,anxiety
anx^0.3,fairly anxious,anx^0.3 = fairly anxious,Emotional,anx,subtle,0.3,anxiety
anx^0.5,very anxious,anx^0.5 = very anxious,Emotional,anx,moderate,0.5,anxiety
anx^0.7,panicked,anx^0.7 = panicked,Emotional,anx,strong,0.7,anxiety
anx^0.8,absolute panic,anx^0.8 = absolute panic,Emotional,anx,intense,0.8,anxiety
anx^0.9,absolute panic,anx^0.9 = absolute panic,Emotional,anx,extreme,0.9,anxiety
anx^1.0,absolute panic,anx^1.0 = absolute panic,Emotional,anx,maximum,1.0,anxiety
exc^0.1,slight interest,exc^0.1 = slight interest,Emotional,exc,minimal,0.1,excitement
exc^0.2,somewhat excited,exc^0.2 = somewhat excited,Emotional,exc,slight,0.2,excitement
exc^0.3,fairly excited,exc^0.3 = fairly excited,Emotional,exc,subtle,0.3,excitement
exc^0.5,very excited,exc^0.5 = very excited,Emotional,exc,moderate,0.5,excitement
exc^0.7,ecstatic,exc^0.7 = ecstatic,Emotional,exc,strong,0.7,excitement
exc^0.8,uncontrollable excitement,exc^0.8 = uncontrollable excitement,Emotional,exc,intense,0.8,excitement
exc^0.9,uncontrollable excitement,exc^0.9 = uncontrollable excitement,Emotional,exc,extreme,0.9,excitement
exc^1.0,uncontrollable excitement,exc^1.0 = uncontrollable excitement,Emotional,exc,maximum,1.0,excitement
pri^0.1,slight proud,pri^0.1 = slight proud,Emotional,pri,minimal,0.1,pride
pri^0.2,somewhat proud,pri^0.2 = somewhat proud,Emotional,pri,slight,0.2,pride
pri^0.3,fairly proud,pri^0.3 = fairly proud,Emotional,pri,subtle,0.3,pride
pri^0.5,very proud,pri^0.5 = very proud,Emotional,pri,moderate,0.5,pride
pri^0.7,arrogant,pri^0.7 = arrogant,Emotional,pri,strong,0.7,pride
pri^0.8,unbridled pride,pri^0.8 = unbridled pride,Emotional,pri,intense,0.8,pride
pri^0.9,unbridled pride,pri^0.9 = unbridled pride,Emotional,pri,extreme,0.9,pride
pri^1.0,unbridled pride,pri^1.0 = unbridled pride,Emotional,pri,maximum,1.0,pride
sha^0.1,slight embarrassed,sha^0.1 = slight embarrassed,Emotional,sha,minimal,0.1,shame
sha^0.2,somewhat ashamed,sha^0.2 = somewhat ashamed,Emotional,sha,slight,0.2,shame
sha^0.3,fairly ashamed,sha^0.3 = fairly ashamed,Emotional,sha,subtle,0.3,shame
sha^0.5,very ashamed,sha^0.5 = very ashamed,Emotional,sha,moderate,0.5,shame
sha^0.7,mortified,sha^0.7 = mortified,Emotional,sha,strong,0.7,shame
sha^0.8,complete mortification,sha^0.8 = complete mortification,Emotional,sha,intense,0.8,shame
sha^0.9,complete mortification,sha^0.9 = complete mortification,Emotional,sha,extreme,0.9,shame
sha^1.0,complete mortification,sha^1.0 = complete mortification,Emotional,sha,maximum,1.0,shame
gui^0.1,slight guilt,gui^0.1 = slight guilt,Emotional,gui,minimal,0.1,guilt
gui^0.2,somewhat guilty,gui^0.2 = somewhat guilty,Emotional,gui,slight,0.2,guilt
gui^0.3,fairly guilty,gui^0.3 = fairly guilty,Emotional,gui,subtle,0.3,guilt
gui^0.5,very guilty,gui^0.5 = very guilty,Emotional,gui,moderate,0.5,guilt
gui^0.7,tortured,gui^0.7 = tortured,Emotional,gui,strong,0.7,guilt
gui^0.8,consuming guilt,gui^0.8 = consuming guilt,Emotional,gui,intense,0.8,guilt
gui^0.9,consuming guilt,gui^0.9 = consuming guilt,Emotional,gui,extreme,0.9,guilt
gui^1.0,consuming guilt,gui^1.0 = consuming guilt,Emotional,gui,maximum,1.0,guilt
gra^0.1,slight grateful,gra^0.1 = slight grateful,Emotional,gra,minimal,0.1,gratitude
gra^0.2,somewhat grateful,gra^0.2 = somewhat grateful,Emotional,gra,slight,0.2,gratitude
gra^0.3,fairly grateful,gra^0.3 = fairly grateful,Emotional,gra,subtle,0.3,gratitude
gra^0.5,very grateful,gra^0.5 = very grateful,Emotional,gra,moderate,0.5,gratitude
gra^0.7,profoundly grateful,gra^0.7 = profoundly grateful,Emotional,gra,strong,0.7,gratitude
